pm10,temp,bp,rh,ws,co,o3,nox,so2
0.331,0.778,0.966,0.795,0.111,0.122,0.042,0.123,0.035
0.331,0.556,0.966,0.771,0.222,0.17,0.051,0.135,0.041
0.331,0.556,0.966,0.723,0.278,0.191,0.055,0.146,0.078
0.331,0.556,0.966,0.699,0.185,0.19,0.065,0.141,0.052
0.413,0.556,0.966,0.687,0.296,0.151,0.087,0.127,0.055
0.413,0.556,0.966,0.675,0.352,0.108,0.105,0.076,0.054
0.413,0.556,0.966,0.675,0.352,0.095,0.131,0.054,0.054
0.413,0.556,0.966,0.651,0.389,0.102,0.131,0.056,0.058
0.303,0.556,0.966,0.675,0.259,0.142,0.132,0.061,0.052
0.303,0.667,0.966,0.675,0.222,0.114,0.14,0.06,0.045
0.303,0.667,0.966,0.651,0.167,0.117,0.156,0.062,0.078
0.303,0.667,0.966,0.614,0.222,0.1,0.168,0.059,0.052
0.291,0.556,0.966,0.602,0.241,0.109,0.172,0.063,0.059
0.291,0.667,0.966,0.627,0.241,0.119,0.174,0.075,0.057
0.291,0.667,0.966,0.59,0.222,0.116,0.193,0.078,0.061
0.291,0.667,0.966,0.566,0.241,0.115,0.217,0.075,0.068
0.345,0.556,0.966,0.651,0.389,0.142,0.207,0.076,0.064
0.345,0.556,0.966,0.663,0.426,0.126,0.198,0.076,0.058
0.345,0.556,0.966,0.663,0.37,0.124,0.192,0.075,0.078
0.345,0.556,0.966,0.663,0.352,0.126,0.205,0.076,0.055
0.373,0.556,0.966,0.663,0.407,0.119,0.206,0.076,0.056
0.373,0.556,0.966,0.663,0.278,0.119,0.216,0.074,0.058
0.373,0.444,0.966,0.675,0.37,0.094,0.227,0.069,0.055
0.373,0.444,0.966,0.675,0.389,0.081,0.238,0.063,0.051
0.327,0.556,0.966,0.663,0.37,0.142,0.233,0.058,0.049
0.327,0.444,0.966,0.663,0.389,0.099,0.239,0.056,0.047
0.327,0.556,0.931,0.663,0.296,0.102,0.259,0.053,0.078
0.327,0.444,0.931,0.675,0.278,0.11,0.231,0.055,0.043
0.271,0.444,0.931,0.675,0.204,0.104,0.245,0.055,0.04
0.271,0.444,0.931,0.675,0.167,0.112,0.208,0.059,0.036
0.271,0.556,0.931,0.675,0.167,0.116,0.186,0.067,0.035
0.271,0.778,0.931,0.687,0.148,0.128,0.156,0.073,0.035
0.288,0.722,0.931,0.711,0.167,0.173,0.075,0.089,0.04
0.288,0.556,0.931,0.723,0.204,0.148,0.042,0.13,0.046
0.288,0.667,0.931,0.735,0.13,0.147,0.042,0.12,0.078
0.288,0.667,0.931,0.759,0.148,0.172,0.037,0.124,0.05
0.351,0.667,0.931,0.771,0.13,0.196,0.031,0.136,0.048
0.351,0.667,0.931,0.783,0.074,0.213,0.028,0.15,0.045
0.351,0.667,0.931,0.795,0.074,0.22,0.024,0.157,0.042
0.351,0.667,0.931,0.795,0.037,0.226,0.027,0.154,0.036
0.41,0.667,0.931,0.819,0.037,0.169,0.029,0.152,0.03
0.41,0.667,0.931,0.843,0.037,0.269,0.027,0.188,0.026
0.41,0.722,0.931,0.867,0.0,0.333,0.033,0.197,0.078
0.41,0.722,0.931,0.88,0.0,0.38,0.032,0.209,0.022
0.531,0.722,0.931,0.88,0.056,0.47,0.041,0.351,0.024
0.531,0.722,0.931,0.88,0.0,0.495,0.034,0.435,0.029
0.531,0.778,0.931,0.892,0.056,0.535,0.034,0.428,0.029
0.531,0.667,0.931,0.88,0.056,0.546,0.029,0.489,0.034
0.585,0.667,0.931,0.88,0.056,0.169,0.028,0.462,0.037
0.585,0.556,0.931,0.88,0.037,0.436,0.029,0.454,0.038
0.585,0.556,0.931,0.892,0.037,0.464,0.028,0.458,0.078
0.585,0.556,0.931,0.904,0.019,0.45,0.061,0.462,0.038
0.662,0.556,0.931,0.904,0.056,0.4,0.09,0.447,0.031
0.662,0.556,0.931,0.904,0.093,0.362,0.078,0.452,0.027
0.662,0.556,0.931,0.916,0.074,0.331,0.037,0.444,0.025
0.662,0.556,0.931,0.916,0.148,0.275,0.03,0.361,0.025
0.533,0.556,0.931,0.904,0.111,0.142,0.031,0.3,0.023
0.533,0.556,0.931,0.904,0.056,0.212,0.028,0.256,0.023
0.533,0.556,0.931,0.916,0.019,0.239,0.028,0.237,0.078
0.533,0.556,0.931,0.94,0.019,0.289,0.039,0.232,0.019
0.419,0.556,0.931,0.94,0.0,0.245,0.037,0.226,0.019
0.419,0.556,0.931,0.94,0.0,0.268,0.041,0.217,0.021
0.419,0.556,0.931,0.952,0.0,0.301,0.048,0.22,0.023
0.419,0.667,0.931,0.952,0.019,0.299,0.052,0.217,0.024
0.466,0.889,0.931,0.952,0.0,0.123,0.06,0.202,0.022
0.466,0.889,0.931,0.952,0.0,0.215,0.106,0.192,0.021
0.466,0.778,0.931,0.964,0.0,0.198,0.112,0.191,0.078
0.466,0.667,0.931,0.964,0.0,0.199,0.128,0.213,0.02
0.377,0.667,0.931,0.964,0.0,0.202,0.164,0.241,0.021
0.377,0.778,0.931,0.964,0.037,0.191,0.193,0.25,0.02
0.377,0.778,0.931,0.964,0.074,0.174,0.212,0.239,0.022
0.377,0.778,0.931,0.964,0.093,0.164,0.188,0.216,0.022
0.339,0.778,0.931,0.964,0.056,0.122,0.127,0.181,0.021
0.339,0.778,0.931,0.964,0.13,0.181,0.111,0.172,0.02
0.339,0.778,0.931,0.964,0.185,0.166,0.089,0.154,0.078
0.339,0.778,0.931,0.964,0.148,0.162,0.056,0.113,0.019
0.279,0.778,0.931,0.976,0.204,0.151,0.045,0.094,0.017
0.279,0.778,0.931,0.976,0.222,0.149,0.04,0.086,0.014
0.279,0.778,0.931,0.988,0.167,0.14,0.038,0.08,0.013
0.279,0.667,0.931,0.988,0.111,0.146,0.037,0.086,0.013
0.168,0.556,0.931,0.988,0.185,0.142,0.037,0.081,0.015
0.168,0.556,0.931,0.988,0.185,0.139,0.044,0.082,0.015
0.168,0.556,0.931,0.988,0.111,0.149,0.037,0.088,0.078
0.168,0.5,0.931,0.988,0.148,0.167,0.056,0.096,0.017
0.326,0.5,0.931,0.988,0.148,0.187,0.156,0.098,0.024
0.308,0.556,0.931,1.0,0.315,0.149,0.166,0.118,0.02
0.308,0.556,0.931,1.0,0.278,0.187,0.166,0.17,0.02
0.291,0.556,0.931,1.0,0.241,0.198,0.021,0.174,0.023
0.291,0.556,0.931,1.0,0.222,0.202,0.034,0.17,0.024
0.291,0.556,0.931,0.988,0.13,0.21,0.042,0.176,0.025
0.291,0.667,0.931,0.988,0.167,0.217,0.048,0.176,0.028
0.338,0.778,0.966,0.988,0.204,0.122,0.052,0.169,0.029
0.338,0.667,0.966,0.952,0.241,0.179,0.064,0.171,0.029
0.338,0.556,0.966,0.831,0.296,0.184,0.068,0.231,0.078
0.338,0.556,0.966,0.771,0.296,0.186,0.082,0.183,0.031
0.402,0.556,0.966,0.747,0.241,0.198,0.092,0.163,0.036
0.402,0.556,0.966,0.711,0.167,0.199,0.089,0.159,0.04
0.402,0.556,0.966,0.699,0.259,0.188,0.106,0.151,0.044
0.402,0.556,0.966,0.699,0.278,0.168,0.126,0.136,0.046
0.396,0.556,0.966,0.663,0.333,0.142,0.148,0.117,0.048
0.396,0.556,0.966,0.663,0.463,0.15,0.169,0.11,0.054
0.396,0.556,0.966,0.663,0.407,0.171,0.183,0.106,0.078
0.396,0.556,0.966,0.675,0.537,0.172,0.199,0.109,0.058
0.395,0.556,0.966,0.675,0.463,0.163,0.187,0.106,0.061
0.395,0.556,0.966,0.651,0.426,0.146,0.239,0.099,0.064
0.395,0.556,0.966,0.639,0.426,0.134,0.218,0.093,0.063
0.395,0.667,0.966,0.627,0.519,0.132,0.226,0.088,0.058
0.346,0.556,0.966,0.614,0.481,0.142,0.256,0.083,0.058
0.346,0.556,0.966,0.59,0.444,0.14,0.252,0.087,0.059
0.346,0.556,0.966,0.59,0.333,0.146,0.233,0.093,0.078
0.346,0.556,0.966,0.578,0.296,0.134,0.216,0.096,0.056
0.32,0.5,0.966,0.59,0.426,0.123,0.221,0.094,0.051
0.32,0.444,0.966,0.59,0.389,0.124,0.206,0.093,0.048
0.32,0.444,0.966,0.602,0.407,0.124,0.19,0.094,0.045
0.32,0.444,0.966,0.602,0.426,0.108,0.201,0.093,0.043
0.282,0.444,0.966,0.602,0.333,0.095,0.185,0.094,0.042
0.282,0.444,0.966,0.578,0.407,0.101,0.213,0.084,0.039
0.282,0.5,0.966,0.578,0.296,0.114,0.182,0.08,0.078
0.282,0.5,0.966,0.578,0.352,0.104,0.187,0.08,0.039
0.228,0.556,0.931,0.602,0.315,0.108,0.18,0.076,0.038
0.228,0.556,0.931,0.602,0.278,0.114,0.152,0.08,0.037
0.228,0.556,0.931,0.627,0.37,0.119,0.139,0.084,0.037
0.228,0.667,0.931,0.651,0.259,0.122,0.112,0.087,0.035
0.227,0.778,0.931,0.687,0.259,0.122,0.068,0.1,0.031
0.227,0.667,0.931,0.711,0.204,0.144,0.048,0.112,0.032
0.227,0.667,0.931,0.735,0.167,0.167,0.033,0.124,0.078
0.227,0.667,0.931,0.747,0.167,0.178,0.026,0.138,0.026
0.26,0.667,0.931,0.759,0.13,0.195,0.023,0.151,0.017
0.26,0.667,0.931,0.771,0.056,0.241,0.021,0.169,0.016
0.26,0.667,0.931,0.783,0.093,0.297,0.027,0.209,0.017
0.26,0.667,0.931,0.783,0.074,0.316,0.028,0.266,0.02
0.337,0.667,0.931,0.795,0.0,0.169,0.026,0.305,0.025
0.337,0.722,0.931,0.819,0.037,0.343,0.024,0.344,0.026
0.337,0.722,0.931,0.783,0.093,0.339,0.025,0.342,0.078
0.337,0.722,0.931,0.759,0.13,0.3,0.023,0.315,0.025
0.356,0.722,0.931,0.747,0.148,0.293,0.025,0.283,0.022
0.356,0.667,0.931,0.735,0.315,0.258,0.021,0.248,0.019
0.356,0.778,0.931,0.735,0.315,0.245,0.024,0.205,0.017
0.356,0.778,0.931,0.747,0.278,0.257,0.025,0.21,0.018
0.321,0.667,0.931,0.747,0.241,0.169,0.022,0.214,0.021
0.321,0.556,0.931,0.723,0.296,0.204,0.027,0.202,0.019
0.321,0.556,0.931,0.723,0.222,0.155,0.025,0.175,0.078
0.321,0.556,0.931,0.711,0.296,0.117,0.025,0.125,0.018
0.235,0.556,0.931,0.699,0.204,0.096,0.023,0.112,0.02
0.235,0.556,0.931,0.699,0.167,0.08,0.033,0.104,0.023
0.235,0.444,0.931,0.711,0.167,0.068,0.029,0.1,0.023
0.235,0.444,0.931,0.711,0.241,0.055,0.033,0.091,0.022
0.171,0.444,0.931,0.699,0.296,0.095,0.039,0.084,0.021
0.171,0.444,0.931,0.699,0.222,0.064,0.048,0.077,0.019
0.171,0.444,0.931,0.711,0.278,0.062,0.058,0.071,0.078
0.171,0.5,0.931,0.699,0.296,0.056,0.069,0.065,0.02
0.128,0.556,0.931,0.699,0.37,0.048,0.089,0.057,0.023
0.128,0.556,0.931,0.699,0.315,0.044,0.11,0.051,0.025
0.128,0.444,0.931,0.711,0.278,0.046,0.098,0.051,0.026
0.128,0.556,0.931,0.711,0.333,0.047,0.095,0.052,0.027
0.122,0.778,0.931,0.711,0.389,0.122,0.107,0.053,0.025
0.122,0.889,0.931,0.711,0.389,0.052,0.132,0.05,0.024
0.122,0.722,0.931,0.711,0.352,0.047,0.138,0.044,0.078
0.122,0.667,0.931,0.711,0.537,0.043,0.156,0.041,0.023
0.121,0.722,0.931,0.711,0.352,0.044,0.148,0.038,0.02
0.121,0.778,0.931,0.711,0.481,0.043,0.156,0.037,0.02
0.121,0.778,0.931,0.699,0.463,0.045,0.155,0.038,0.021
0.121,0.778,0.931,0.711,0.389,0.043,0.151,0.041,0.021
0.132,0.778,0.931,0.723,0.352,0.122,0.132,0.043,0.02
0.132,0.778,0.931,0.711,0.407,0.052,0.122,0.045,0.02
0.132,0.778,0.931,0.699,0.389,0.052,0.132,0.043,0.078
0.132,0.778,0.931,0.699,0.389,0.053,0.139,0.042,0.02
0.106,0.778,0.931,0.687,0.333,0.052,0.146,0.042,0.022
0.106,0.778,0.931,0.663,0.352,0.049,0.153,0.04,0.022
0.106,0.778,0.931,0.651,0.426,0.049,0.152,0.037,0.024
0.106,0.778,0.931,0.639,0.389,0.052,0.139,0.039,0.025
0.104,0.667,0.931,0.651,0.278,0.169,0.124,0.042,0.026
0.104,0.556,0.931,0.663,0.389,0.053,0.123,0.042,0.027
0.104,0.556,0.931,0.663,0.389,0.052,0.124,0.043,0.078
0.104,0.556,0.931,0.614,0.389,0.054,0.12,0.043,0.025
0.104,0.556,0.931,0.614,0.444,0.059,0.121,0.046,0.023
0.15,0.556,0.931,0.614,0.333,0.088,0.166,0.096,0.024
0.15,0.556,0.931,0.446,0.481,0.081,0.166,0.08,0.033
0.163,0.556,0.966,0.422,0.537,0.08,0.079,0.09,0.046
0.163,0.5,0.966,0.422,0.593,0.08,0.096,0.09,0.047
0.163,0.444,0.966,0.398,0.593,0.073,0.109,0.074,0.047
0.163,0.444,0.966,0.386,0.759,0.068,0.124,0.069,0.047
0.168,0.556,0.966,0.373,0.593,0.142,0.138,0.068,0.048
0.168,0.444,0.966,0.373,0.648,0.065,0.148,0.066,0.05
0.168,0.556,0.966,0.349,0.574,0.061,0.15,0.062,0.078
0.168,0.556,0.966,0.337,0.63,0.062,0.159,0.063,0.057
0.15,0.556,0.966,0.325,0.537,0.059,0.17,0.06,0.056
0.15,0.556,0.966,0.325,0.722,0.053,0.188,0.057,0.056
0.15,0.5,0.966,0.337,0.778,0.046,0.198,0.048,0.053
0.15,0.444,0.966,0.325,0.759,0.045,0.21,0.044,0.053
0.138,0.5,0.966,0.313,0.611,0.097,0.222,0.045,0.048
0.138,0.556,0.966,0.289,0.722,0.049,0.222,0.044,0.049
0.138,0.556,0.966,0.277,0.722,0.048,0.235,0.041,0.078
0.138,0.444,0.966,0.265,0.778,0.049,0.241,0.04,0.049
0.142,0.444,0.966,0.253,0.722,0.045,0.263,0.038,0.045
0.142,0.5,0.966,0.217,0.685,0.038,0.291,0.034,0.042
0.142,0.556,0.966,0.241,0.759,0.041,0.273,0.032,0.041
0.142,0.667,0.966,0.229,0.778,0.047,0.287,0.035,0.04
0.147,0.556,0.966,0.217,0.833,0.142,0.318,0.029,0.04
0.147,0.556,0.966,0.217,0.667,0.047,0.297,0.037,0.041
0.147,0.556,0.966,0.205,0.704,0.043,0.32,0.036,0.078
0.147,0.556,0.966,0.193,0.741,0.045,0.319,0.036,0.039
0.114,0.556,0.966,0.205,0.648,0.045,0.333,0.035,0.041
0.114,0.5,0.966,0.169,0.685,0.041,0.356,0.036,0.04
0.114,0.556,0.966,0.181,0.574,0.044,0.333,0.04,0.038
0.114,0.5,0.966,0.193,0.574,0.044,0.341,0.043,0.038
0.111,0.444,0.966,0.217,0.667,0.095,0.354,0.042,0.038
0.111,0.444,0.966,0.229,0.593,0.047,0.34,0.039,0.037
0.111,0.5,0.931,0.253,0.537,0.046,0.343,0.039,0.078
0.111,0.5,0.931,0.253,0.593,0.047,0.349,0.033,0.039
0.091,0.5,0.931,0.265,0.537,0.053,0.329,0.037,0.041
0.091,0.444,0.931,0.277,0.593,0.054,0.316,0.042,0.04
0.091,0.444,0.931,0.289,0.648,0.057,0.301,0.046,0.039
0.091,0.556,0.931,0.325,0.389,0.073,0.208,0.06,0.04
0.117,0.722,0.931,0.361,0.481,0.173,0.167,0.08,0.04
0.117,0.778,0.931,0.373,0.37,0.086,0.171,0.073,0.039
0.117,0.667,0.931,0.398,0.37,0.088,0.148,0.087,0.078
0.117,0.667,0.931,0.41,0.333,0.102,0.137,0.088,0.04
0.158,0.667,0.931,0.422,0.315,0.119,0.109,0.097,0.037
0.158,0.667,0.931,0.434,0.241,0.126,0.093,0.1,0.037
0.158,0.667,0.931,0.446,0.352,0.123,0.078,0.109,0.036
0.158,0.667,0.931,0.458,0.333,0.122,0.075,0.109,0.034
0.158,0.667,0.931,0.458,0.296,0.169,0.065,0.114,0.033
0.158,0.667,0.931,0.458,0.278,0.122,0.076,0.113,0.034
0.158,0.667,0.931,0.458,0.241,0.123,0.074,0.111,0.078
0.158,0.667,0.931,0.458,0.296,0.125,0.058,0.114,0.033
0.147,0.667,0.931,0.47,0.278,0.127,0.055,0.116,0.032
0.147,0.667,0.931,0.446,0.352,0.11,0.087,0.111,0.031
0.147,0.667,0.931,0.446,0.37,0.101,0.119,0.099,0.03
0.147,0.778,0.931,0.446,0.37,0.101,0.127,0.089,0.028
0.133,0.667,0.931,0.458,0.389,0.169,0.127,0.085,0.029
0.133,0.556,0.931,0.47,0.333,0.1,0.106,0.085,0.028
0.133,0.556,0.931,0.482,0.315,0.096,0.101,0.088,0.078
0.133,0.556,0.931,0.482,0.315,0.088,0.118,0.084,0.03
0.137,0.444,0.931,0.494,0.296,0.088,0.114,0.08,0.031
0.137,0.444,0.931,0.47,0.352,0.078,0.135,0.076,0.03
0.137,0.444,0.931,0.482,0.296,0.072,0.15,0.072,0.028
0.137,0.444,0.931,0.482,0.333,0.071,0.131,0.076,0.027
0.123,0.444,0.931,0.47,0.37,0.095,0.143,0.074,0.029
0.123,0.444,0.931,0.47,0.426,0.064,0.161,0.07,0.027
0.123,0.444,0.931,0.47,0.426,0.06,0.191,0.063,0.078
0.123,0.444,0.931,0.458,0.481,0.056,0.208,0.054,0.028
0.107,0.444,0.931,0.47,0.463,0.054,0.191,0.054,0.031
0.107,0.444,0.931,0.482,0.407,0.053,0.18,0.055,0.033
0.107,0.444,0.931,0.506,0.426,0.052,0.179,0.053,0.034
0.107,0.556,0.931,0.506,0.407,0.052,0.179,0.048,0.034
0.111,0.667,0.931,0.53,0.389,0.169,0.175,0.047,0.032
0.111,0.833,0.931,0.542,0.407,0.054,0.163,0.05,0.029
0.111,0.889,0.931,0.554,0.463,0.053,0.171,0.048,0.078
0.111,0.667,0.931,0.554,0.426,0.047,0.183,0.046,0.028
0.098,0.667,0.931,0.554,0.389,0.043,0.178,0.046,0.025
0.098,0.722,0.931,0.554,0.5,0.044,0.198,0.042,0.026
0.098,0.778,0.931,0.566,0.389,0.044,0.207,0.038,0.026
0.098,0.778,0.931,0.566,0.352,0.045,0.193,0.038,0.024
0.094,0.778,0.931,0.566,0.389,0.122,0.172,0.041,0.025
0.094,0.778,0.931,0.578,0.444,0.051,0.156,0.046,0.024
0.094,0.778,0.897,0.578,0.407,0.052,0.157,0.048,0.078
0.094,0.778,0.897,0.578,0.426,0.051,0.163,0.049,0.025
0.095,0.778,0.897,0.578,0.407,0.051,0.158,0.051,0.026
0.095,0.778,0.897,0.578,0.426,0.051,0.162,0.053,0.027
0.095,0.778,0.897,0.578,0.426,0.052,0.161,0.052,0.029
0.095,0.778,0.897,0.566,0.426,0.053,0.157,0.053,0.029
0.084,0.778,0.897,0.554,0.444,0.122,0.186,0.049,0.029
0.084,0.667,0.897,0.554,0.519,0.053,0.193,0.043,0.03
0.084,0.611,0.897,0.554,0.444,0.052,0.182,0.042,0.078
0.084,0.556,0.897,0.554,0.537,0.054,0.165,0.045,0.029
0.087,0.556,0.897,0.554,0.426,0.057,0.135,0.049,0.031
0.126,0.556,0.931,0.518,0.537,0.083,0.166,0.082,0.036
0.126,0.611,0.931,0.446,0.463,0.083,0.166,0.087,0.04
0.177,0.556,0.931,0.434,0.463,0.085,0.099,0.09,0.047
0.177,0.556,0.931,0.41,0.463,0.088,0.117,0.088,0.048
0.177,0.444,0.931,0.398,0.63,0.087,0.132,0.087,0.053
0.177,0.444,0.931,0.386,0.574,0.087,0.144,0.085,0.056
0.171,0.667,0.966,0.361,0.519,0.169,0.16,0.084,0.058
0.171,0.556,0.966,0.349,0.463,0.086,0.169,0.085,0.057
0.171,0.556,0.966,0.337,0.481,0.086,0.179,0.085,0.078
0.171,0.556,0.966,0.325,0.5,0.073,0.224,0.076,0.057
0.169,0.556,0.966,0.313,0.611,0.067,0.247,0.067,0.06
0.169,0.556,0.966,0.301,0.556,0.065,0.26,0.061,0.06
0.169,0.556,0.966,0.289,0.593,0.06,0.27,0.061,0.06
0.169,0.5,0.966,0.277,0.481,0.06,0.284,0.058,0.055
0.132,0.444,0.966,0.265,0.648,0.095,0.298,0.056,0.05
0.132,0.5,0.966,0.253,0.481,0.067,0.312,0.054,0.053
0.132,0.556,0.966,0.253,0.5,0.068,0.321,0.054,0.078
0.132,0.556,0.966,0.241,0.426,0.07,0.329,0.054,0.052
0.132,0.444,0.966,0.217,0.444,0.064,0.34,0.053,0.052
0.132,0.444,0.966,0.217,0.352,0.068,0.354,0.052,0.052
0.132,0.5,0.966,0.217,0.444,0.072,0.365,0.052,0.057
0.132,0.556,0.966,0.205,0.389,0.068,0.39,0.05,0.053
0.121,0.667,0.966,0.181,0.5,0.169,0.417,0.048,0.047
0.121,0.556,0.966,0.157,0.648,0.049,0.462,0.041,0.045
0.121,0.556,0.966,0.145,0.463,0.048,0.458,0.039,0.078
0.121,0.556,0.966,0.12,0.426,0.051,0.459,0.044,0.043
0.098,0.556,0.966,0.12,0.519,0.046,0.504,0.041,0.04
0.098,0.556,0.966,0.108,0.519,0.045,0.499,0.047,0.039
0.098,0.556,0.966,0.12,0.556,0.048,0.482,0.05,0.061
0.098,0.5,0.966,0.133,0.426,0.048,0.435,0.053,0.155
0.118,0.444,0.931,0.145,0.407,0.095,0.432,0.055,0.115
0.118,0.444,0.931,0.145,0.407,0.056,0.487,0.05,0.067
0.118,0.556,0.931,0.145,0.352,0.06,0.483,0.049,0.078
0.118,0.556,0.931,0.169,0.407,0.063,0.467,0.05,0.051
0.114,0.556,0.931,0.169,0.444,0.062,0.477,0.05,0.045
0.114,0.5,0.931,0.205,0.333,0.068,0.435,0.053,0.045
0.114,0.444,0.931,0.241,0.204,0.093,0.314,0.066,0.048
0.114,0.5,0.931,0.253,0.259,0.095,0.292,0.09,0.049
0.141,0.667,0.931,0.277,0.185,0.169,0.253,0.091,0.048
0.141,0.778,0.931,0.301,0.167,0.114,0.184,0.094,0.045
0.141,0.667,0.931,0.301,0.185,0.125,0.13,0.108,0.078
0.141,0.611,0.931,0.313,0.167,0.147,0.088,0.127,0.041
0.186,0.667,0.931,0.325,0.148,0.154,0.037,0.147,0.035
0.186,0.667,0.931,0.337,0.204,0.158,0.039,0.158,0.032
0.186,0.667,0.931,0.373,0.13,0.178,0.03,0.166,0.031
0.186,0.667,0.931,0.373,0.185,0.175,0.035,0.168,0.033
0.238,0.667,0.931,0.398,0.148,0.169,0.03,0.181,0.036
0.238,0.667,0.931,0.422,0.093,0.191,0.023,0.196,0.037
0.238,0.667,0.931,0.458,0.056,0.214,0.021,0.204,0.078
0.238,0.667,0.931,0.482,0.037,0.238,0.031,0.222,0.043
0.325,0.722,0.931,0.482,0.056,0.236,0.032,0.238,0.058
0.325,0.722,0.931,0.47,0.111,0.237,0.027,0.232,0.055
0.325,0.722,0.931,0.482,0.037,0.218,0.025,0.211,0.049
0.325,0.778,0.931,0.494,0.074,0.22,0.023,0.187,0.044
0.345,0.778,0.931,0.494,0.093,0.122,0.024,0.16,0.04
0.345,0.667,0.931,0.494,0.148,0.18,0.024,0.157,0.038
0.345,0.556,0.931,0.494,0.167,0.176,0.024,0.164,0.078
0.345,0.556,0.931,0.494,0.13,0.154,0.021,0.157,0.034
0.239,0.556,0.931,0.506,0.056,0.143,0.028,0.15,0.028
0.239,0.5,0.931,0.518,0.13,0.148,0.023,0.155,0.025
0.239,0.444,0.931,0.518,0.074,0.162,0.023,0.173,0.028
0.239,0.5,0.931,0.518,0.148,0.156,0.021,0.181,0.029
0.255,0.556,0.931,0.53,0.093,0.142,0.029,0.182,0.029
0.255,0.556,0.931,0.53,0.111,0.14,0.021,0.178,0.031
0.255,0.5,0.931,0.566,0.0,0.133,0.024,0.17,0.078
0.255,0.5,0.931,0.627,0.0,0.136,0.023,0.164,0.028
0.221,0.5,0.931,0.675,0.0,0.152,0.027,0.164,0.026
0.221,0.5,0.931,0.663,0.037,0.154,0.026,0.159,0.025
0.221,0.5,0.931,0.639,0.019,0.138,0.026,0.154,0.024
0.221,0.444,0.931,0.639,0.019,0.124,0.026,0.149,0.024
0.198,0.556,0.897,0.687,0.019,0.142,0.023,0.148,0.023
0.198,0.778,0.897,0.663,0.019,0.123,0.027,0.141,0.023
0.198,0.889,0.897,0.651,0.019,0.114,0.025,0.133,0.078
0.198,0.889,0.897,0.663,0.056,0.116,0.029,0.127,0.021
0.183,0.667,0.897,0.687,0.056,0.118,0.026,0.127,0.018
0.183,0.667,0.897,0.687,0.0,0.11,0.025,0.132,0.018
0.183,0.778,0.897,0.711,0.0,0.116,0.026,0.141,0.018
0.183,0.778,0.897,0.675,0.074,0.127,0.024,0.168,0.02
0.177,0.778,0.897,0.651,0.167,0.122,0.023,0.194,0.022
0.177,0.778,0.931,0.627,0.13,0.104,0.022,0.17,0.025
0.177,0.778,0.897,0.663,0.056,0.1,0.021,0.151,0.078
0.177,0.778,0.897,0.663,0.074,0.094,0.025,0.139,0.025
0.187,0.778,0.897,0.663,0.074,0.088,0.022,0.132,0.023
0.187,0.778,0.897,0.675,0.056,0.087,0.022,0.126,0.023
0.187,0.778,0.897,0.699,0.019,0.088,0.022,0.125,0.02
0.187,0.778,0.897,0.747,0.0,0.095,0.024,0.129,0.021
0.175,0.778,0.897,0.783,0.0,0.122,0.03,0.14,0.02
0.175,0.667,0.897,0.819,0.0,0.107,0.03,0.156,0.02
0.175,0.667,0.897,0.807,0.0,0.111,0.033,0.175,0.078
0.175,0.556,0.897,0.807,0.0,0.124,0.029,0.179,0.021
0.208,0.556,0.897,0.807,0.019,0.134,0.033,0.193,0.024
0.506,0.556,0.931,0.735,0.074,0.228,0.166,0.367,0.035
0.506,0.556,0.931,0.651,0.111,0.209,0.166,0.367,0.034
0.36,0.556,0.931,0.614,0.167,0.164,0.018,0.323,0.036
0.36,0.556,0.966,0.59,0.167,0.152,0.028,0.26,0.039
0.36,0.444,0.966,0.578,0.13,0.148,0.034,0.242,0.043
0.36,0.444,0.966,0.542,0.093,0.15,0.039,0.233,0.05
0.315,0.556,0.966,0.53,0.093,0.142,0.05,0.224,0.063
0.315,0.667,0.966,0.518,0.222,0.164,0.054,0.222,0.063
0.315,0.556,0.966,0.518,0.222,0.165,0.063,0.228,0.078
0.315,0.556,0.966,0.482,0.241,0.154,0.08,0.215,0.086
0.393,0.556,0.966,0.458,0.204,0.142,0.099,0.183,0.102
0.393,0.556,0.966,0.434,0.241,0.155,0.119,0.176,0.136
0.393,0.556,0.966,0.41,0.222,0.15,0.139,0.174,0.137
0.393,0.5,0.966,0.398,0.185,0.156,0.17,0.166,0.131
0.384,0.444,0.966,0.337,0.333,0.095,0.225,0.126,0.115
0.384,0.444,0.966,0.313,0.333,0.093,0.28,0.088,0.102
0.384,0.444,0.966,0.289,0.315,0.086,0.314,0.075,0.078
0.384,0.444,0.966,0.289,0.333,0.086,0.347,0.069,0.091
0.21,0.444,0.966,0.265,0.296,0.08,0.345,0.068,0.085
0.21,0.444,0.966,0.241,0.315,0.063,0.384,0.059,0.088
0.21,0.444,0.966,0.229,0.352,0.056,0.464,0.041,0.087
0.21,0.5,0.966,0.205,0.444,0.055,0.476,0.041,0.086
0.147,0.667,0.966,0.205,0.315,0.169,0.482,0.046,0.083
0.147,0.667,0.966,0.217,0.315,0.078,0.469,0.056,0.091
0.147,0.556,0.966,0.217,0.352,0.076,0.489,0.058,0.078
0.147,0.556,0.966,0.217,0.407,0.073,0.469,0.053,0.09
0.181,0.5,0.966,0.217,0.296,0.073,0.486,0.052,0.087
0.181,0.444,0.966,0.217,0.389,0.07,0.49,0.052,0.085
0.181,0.444,0.966,0.217,0.389,0.064,0.489,0.049,0.08
0.181,0.444,0.931,0.229,0.463,0.061,0.494,0.044,0.072
