pm10,temp,bp,rh,ws,co,o3,nox,so2
0.371,0.889,0.931,0.747,0.093,0.354,0.166,0.357,0.057
0.626,0.889,0.966,0.711,0.111,0.356,0.166,0.399,0.115
0.626,0.778,0.966,0.687,0.148,0.36,0.166,0.395,0.156
0.626,0.778,0.966,0.651,0.204,0.325,0.016,0.367,0.193
0.626,0.667,0.966,0.639,0.278,0.305,0.006,0.309,0.157
0.579,0.667,0.966,0.614,0.241,0.169,0.008,0.236,0.125
0.579,0.667,0.966,0.614,0.37,0.191,0.035,0.167,0.122
0.579,0.667,0.966,0.554,0.259,0.159,0.057,0.152,0.116
0.395,0.667,0.966,0.53,0.241,0.151,0.064,0.138,0.121
0.395,0.556,0.966,0.506,0.296,0.14,0.099,0.129,0.126
0.395,0.556,0.966,0.458,0.259,0.109,0.11,0.109,0.128
0.395,0.444,1.0,0.446,0.296,0.087,0.134,0.07,0.128
0.29,0.444,1.0,0.434,0.278,0.095,0.148,0.068,0.134
0.29,0.444,0.966,0.422,0.315,0.103,0.162,0.071,0.137
0.29,0.444,0.966,0.41,0.222,0.1,0.181,0.071,0.078
0.29,0.444,0.966,0.398,0.222,0.096,0.202,0.065,0.157
0.245,0.444,0.966,0.337,0.167,0.067,0.21,0.052,0.14
0.245,0.444,0.966,0.337,0.315,0.057,0.221,0.044,0.141
0.245,0.444,0.966,0.349,0.148,0.057,0.206,0.043,0.145
0.245,0.444,0.966,0.349,0.167,0.063,0.211,0.05,0.179
0.151,0.444,0.966,0.349,0.222,0.095,0.224,0.053,0.18
0.151,0.444,0.966,0.337,0.278,0.063,0.24,0.05,0.147
0.151,0.444,0.966,0.337,0.278,0.057,0.277,0.041,0.078
0.151,0.444,0.966,0.349,0.278,0.06,0.281,0.037,0.121
0.138,0.556,0.966,0.361,0.222,0.063,0.257,0.04,0.179
0.138,0.611,0.966,0.361,0.278,0.067,0.24,0.047,0.196
0.138,0.556,0.966,0.361,0.13,0.051,0.256,0.046,0.21
